book_authors,book_title,genres,comb
Kiera Cass,the one,Young Adult Romance Science Fiction Dystopia,Kiera Cass the one Young Adult Romance Science Fiction Dystopia
Diana Gabaldon Diana Gabaldon,voyager,Historical Historical Fiction Romance Fantasy Fiction Science Fiction Time Travel Historical,Diana Gabaldon Diana Gabaldon voyager Historical Historical Fiction Romance Fantasy Fiction Science Fiction Time Travel Historical
Lauren Kate,torment,Young Adult Fantasy Paranormal Angels Fantasy Paranormal Romance,Lauren Kate torment Young Adult Fantasy Paranormal Angels Fantasy Paranormal Romance
Evelyn Waugh,brideshead revisited: the sacred and profane memories of captain charles ryder,Classics Fiction Historical Historical Fiction Literature,Evelyn Waugh brideshead revisited: the sacred and profane memories of captain charles ryder Classics Fiction Historical Historical Fiction Literature
William Makepeace Thackeray John Carey,vanity fair,Classics Fiction Historical Historical Fiction Literature,William Makepeace Thackeray John Carey vanity fair Classics Fiction Historical Historical Fiction Literature
Richard Dawkins,the god delusion,Nonfiction Religion Science Philosophy Religion Atheism,Richard Dawkins the god delusion Nonfiction Religion Science Philosophy Religion Atheism
Plato Desmond Lee,the republic,Philosophy Classics Nonfiction Politics History Academic School Literature Politics Political Science Literature Ancient Academic College,Plato Desmond Lee the republic Philosophy Classics Nonfiction Politics History Academic School Literature Politics Political Science Literature Ancient Academic College
Dalton Trumbo,johnny got his gun,Fiction Classics War Historical Historical Fiction Horror Literature,Dalton Trumbo johnny got his gun Fiction Classics War Historical Historical Fiction Horror Literature
Emily Dickinson Thomas H. Johnson,the complete poems of emily dickinson,Classics Poetry Fiction,Emily Dickinson Thomas H. Johnson the complete poems of emily dickinson Classics Poetry Fiction
Cassandra Clare,the mortal instruments boxed set: city of bones; city of ashes; city of glass,Fantasy Young Adult Fantasy Paranormal Romance Fantasy Urban Fantasy,Cassandra Clare the mortal instruments boxed set: city of bones; city of ashes; city of glass Fantasy Young Adult Fantasy Paranormal Romance Fantasy Urban Fantasy
Sarah J. Maas,crown of midnight,Fantasy Young Adult Romance,Sarah J. Maas crown of midnight Fantasy Young Adult Romance
W. Somerset Maugham Benjamin DeMott Maeve Binchy,of human bondage,Classics Fiction Literature Novels European Literature British Literature Literary Fiction Literature 20th Century Romance Classics Classic Literature Young Adult Coming Of Age,W. Somerset Maugham Benjamin DeMott Maeve Binchy of human bondage Classics Fiction Literature Novels European Literature British Literature Literary Fiction Literature 20th Century Romance Classics Classic Literature Young Adult Coming Of Age
Neal Stephenson,snow crash,Science Fiction Fiction Science Fiction Cyberpunk,Neal Stephenson snow crash Science Fiction Fiction Science Fiction Cyberpunk
Greg Mortenson David Oliver Relin,three cups of tea: one man's mission to promote peace ... one school at a time,Nonfiction Autobiography Memoir Biography Travel,Greg Mortenson David Oliver Relin three cups of tea: one man's mission to promote peace ... one school at a time Nonfiction Autobiography Memoir Biography Travel
Libba Bray,a great and terrible beauty,Young Adult Fantasy Historical Historical Fiction Fiction Historical,Libba Bray a great and terrible beauty Young Adult Fantasy Historical Historical Fiction Fiction Historical
Elizabeth Gaskell Alan Shelston,north and south,Classics Fiction Romance Historical Historical Fiction Literature 19th Century,Elizabeth Gaskell Alan Shelston north and south Classics Fiction Romance Historical Historical Fiction Literature 19th Century
Anne Rice,the witching hour,Horror Fantasy Fiction Fantasy Paranormal Paranormal Witches,Anne Rice the witching hour Horror Fantasy Fiction Fantasy Paranormal Paranormal Witches
Sylvia Day,bared to you,Romance Adult Fiction Erotica Contemporary Adult Romance Contemporary Romance,Sylvia Day bared to you Romance Adult Fiction Erotica Contemporary Adult Romance Contemporary Romance
Simone Elkeles,perfect chemistry,Romance Young Adult Contemporary Romance Contemporary Romance,Simone Elkeles perfect chemistry Romance Young Adult Contemporary Romance Contemporary Romance
Jeaniene Frost,halfway to the grave,Fantasy Paranormal Paranormal Vampires Fantasy Urban Fantasy Romance Romance Paranormal Romance Fantasy,Jeaniene Frost halfway to the grave Fantasy Paranormal Paranormal Vampires Fantasy Urban Fantasy Romance Romance Paranormal Romance Fantasy
Terry Goodkind,wizard's first rule,Fantasy Fiction Fantasy Epic Fantasy,Terry Goodkind wizard's first rule Fantasy Fiction Fantasy Epic Fantasy
Stephenie Meyer,the host,Science Fiction Fiction Young Adult Science Fiction Dystopia Fantasy Paranormal Science Fiction Aliens,Stephenie Meyer the host Science Fiction Fiction Young Adult Science Fiction Dystopia Fantasy Paranormal Science Fiction Aliens
Alan Paton,"cry, the beloved country",Fiction Classics Cultural Africa Historical Historical Fiction Southern Africa South Africa Literature,"Alan Paton cry, the beloved country Fiction Classics Cultural Africa Historical Historical Fiction Southern Africa South Africa Literature"
Joanne Harris,chocolat,Fiction Romance Magical Realism Cultural France Fantasy,Joanne Harris chocolat Fiction Romance Magical Realism Cultural France Fantasy
Max Brooks,world war z: an oral history of the zombie war,Horror Fiction Horror Zombies Science Fiction Fantasy Apocalyptic Post Apocalyptic,Max Brooks world war z: an oral history of the zombie war Horror Fiction Horror Zombies Science Fiction Fantasy Apocalyptic Post Apocalyptic
Rick Yancey,the 5th wave,Young Adult Science Fiction Science Fiction Dystopia,Rick Yancey the 5th wave Young Adult Science Fiction Science Fiction Dystopia
Kelley Armstrong,the summoning,Young Adult Fantasy Fantasy Paranormal Fantasy Urban Fantasy,Kelley Armstrong the summoning Young Adult Fantasy Fantasy Paranormal Fantasy Urban Fantasy
P.D. Eastman Merwin Goldsmith MARIAN HAILEY Ron Marshall Brendon Parry Jim Thurman Ray Messecar Chris Campbell Ron Nicodemus Sharon Lerner Phil Eastman,are you my mother?,Childrens Childrens Picture Books,P.D. Eastman Merwin Goldsmith MARIAN HAILEY Ron Marshall Brendon Parry Jim Thurman Ray Messecar Chris Campbell Ron Nicodemus Sharon Lerner Phil Eastman are you my mother? Childrens Childrens Picture Books
John Steinbeck,cannery row,Classics Fiction Literature Historical Historical Fiction,John Steinbeck cannery row Classics Fiction Literature Historical Historical Fiction
Wilkie Collins Matthew Sweet,the woman in white,Classics Mystery Fiction Gothic Literature 19th Century Horror Historical Victorian Historical Historical Fiction Literature European Literature British Literature,Wilkie Collins Matthew Sweet the woman in white Classics Mystery Fiction Gothic Literature 19th Century Horror Historical Victorian Historical Historical Fiction Literature European Literature British Literature
H.G. Wells Arthur C. Clarke,the war of the worlds,Classics Science Fiction Fiction Fantasy Science Fiction Fantasy Literature Horror Novels Science Fiction Aliens Literature 19th Century,H.G. Wells Arthur C. Clarke the war of the worlds Classics Science Fiction Fiction Fantasy Science Fiction Fantasy Literature Horror Novels Science Fiction Aliens Literature 19th Century
Max Lucado,"you are special (wemmicksville, #1)",Childrens Picture Books Childrens Christian,"Max Lucado you are special (wemmicksville, #1) Childrens Picture Books Childrens Christian"
Chris Van Allsburg Liam Neeson,the polar express,Childrens Picture Books Childrens Holiday Christmas,Chris Van Allsburg Liam Neeson the polar express Childrens Picture Books Childrens Holiday Christmas
Daniel Quinn,ishmael: an adventure of the mind and spirit,Fiction Philosophy Spirituality Classics Environment,Daniel Quinn ishmael: an adventure of the mind and spirit Fiction Philosophy Spirituality Classics Environment
Sarah Dessen,just listen,Young Adult Romance Contemporary Fiction Realistic Fiction,Sarah Dessen just listen Young Adult Romance Contemporary Fiction Realistic Fiction
Michelle Hodkin,the unbecoming of mara dyer,Young Adult Fantasy Paranormal Fantasy Romance,Michelle Hodkin the unbecoming of mara dyer Young Adult Fantasy Paranormal Fantasy Romance
William Shakespeare Barbara A. Mowat Paul Werstine Gail Kern Paster Robert          Jackson,much ado about nothing,Classics Plays Fiction Drama,William Shakespeare Barbara A. Mowat Paul Werstine Gail Kern Paster Robert          Jackson much ado about nothing Classics Plays Fiction Drama
Sherrilyn Kenyon,acheron,Romance Paranormal Romance Fantasy Paranormal Romance Fantasy Paranormal Vampires,Sherrilyn Kenyon acheron Romance Paranormal Romance Fantasy Paranormal Romance Fantasy Paranormal Vampires
Becca Fitzpatrick,silence,Young Adult Paranormal Angels Fantasy Fantasy Paranormal Romance,Becca Fitzpatrick silence Young Adult Paranormal Angels Fantasy Fantasy Paranormal Romance
Neal Shusterman,unwind,Young Adult Science Fiction Dystopia Science Fiction Fiction,Neal Shusterman unwind Young Adult Science Fiction Dystopia Science Fiction Fiction
Tatiana de Rosnay,sarah's key,Historical Historical Fiction Fiction World War II Holocaust Historical War World War II,Tatiana de Rosnay sarah's key Historical Historical Fiction Fiction World War II Holocaust Historical War World War II
Tennessee Williams,the glass menagerie,Plays Classics Drama Fiction Plays Theatre Academic School Literature Academic Read For School Young Adult High School Literature American,Tennessee Williams the glass menagerie Plays Classics Drama Fiction Plays Theatre Academic School Literature Academic Read For School Young Adult High School Literature American
Charlaine Harris,dead to the world,Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Fiction Mystery,Charlaine Harris dead to the world Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Fiction Mystery
D.H. Lawrence,lady chatterley's lover,Classics Fiction Romance Literature,D.H. Lawrence lady chatterley's lover Classics Fiction Romance Literature
Hermann Hesse,demian. die geschichte von emil sinclairs jugend,Fiction Classics Philosophy Literature European Literature German Literature Novels Cultural Germany Literature 20th Century Spirituality Nobel Prize,Hermann Hesse demian. die geschichte von emil sinclairs jugend Fiction Classics Philosophy Literature European Literature German Literature Novels Cultural Germany Literature 20th Century Spirituality Nobel Prize
Sarah Dessen,the truth about forever,Young Adult Romance Contemporary Womens Fiction Chick Lit,Sarah Dessen the truth about forever Young Adult Romance Contemporary Womens Fiction Chick Lit
P.C. Cast Kristin Cast,hunted,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal,P.C. Cast Kristin Cast hunted Young Adult Paranormal Vampires Fantasy Fantasy Paranormal
Pittacus Lore,i am number four,Young Adult Fantasy Science Fiction,Pittacus Lore i am number four Young Adult Fantasy Science Fiction
Jon Krakauer,into thin air: a personal account of the mount everest disaster,Nonfiction Adventure Autobiography Memoir Travel Biography History,Jon Krakauer into thin air: a personal account of the mount everest disaster Nonfiction Adventure Autobiography Memoir Travel Biography History
Leo Tolstoy Henry Gifford Aylmer Maude Louise Maude,war and peace,Classics Fiction Literature War Historical Novels Literature Russian Literature Literature 19th Century Romance Philosophy,Leo Tolstoy Henry Gifford Aylmer Maude Louise Maude war and peace Classics Fiction Literature War Historical Novels Literature Russian Literature Literature 19th Century Romance Philosophy
J.D. Salinger,nine stories,Short Stories Fiction Classics Literature Literature American,J.D. Salinger nine stories Short Stories Fiction Classics Literature Literature American
Randy Pausch Jeffrey Zaslow,the last lecture,Nonfiction Autobiography Memoir Biography Inspirational Self Help,Randy Pausch Jeffrey Zaslow the last lecture Nonfiction Autobiography Memoir Biography Inspirational Self Help
Anonymous Richard Francis Burton A.S. Byatt,the arabian nights,Classics Fiction Fantasy Short Stories,Anonymous Richard Francis Burton A.S. Byatt the arabian nights Classics Fiction Fantasy Short Stories
Paullina Simons,the bronze horseman,Historical Historical Fiction Romance Historical Romance Historical Romance Fiction,Paullina Simons the bronze horseman Historical Historical Fiction Romance Historical Romance Historical Romance Fiction
Martin Heidegger,being and time,Philosophy Nonfiction Classics,Martin Heidegger being and time Philosophy Nonfiction Classics
Dodie Smith,i capture the castle,Fiction Classics Young Adult Historical Historical Fiction Romance,Dodie Smith i capture the castle Fiction Classics Young Adult Historical Historical Fiction Romance
William Shakespeare,twelfth night,Classics Plays Drama Fiction,William Shakespeare twelfth night Classics Plays Drama Fiction
Neil Gaiman,coraline,Fantasy Young Adult Fiction Horror Childrens,Neil Gaiman coraline Fantasy Young Adult Fiction Horror Childrens
Michael Cunningham,the hours,Fiction Historical Historical Fiction Contemporary,Michael Cunningham the hours Fiction Historical Historical Fiction Contemporary
Sarah J. Maas,heir of fire,Fantasy Young Adult Romance,Sarah J. Maas heir of fire Fantasy Young Adult Romance
Marcel Proust Simon Vance Lydia Davis,swann's way,Classics Fiction Cultural France Literature European Literature French Literature,Marcel Proust Simon Vance Lydia Davis swann's way Classics Fiction Cultural France Literature European Literature French Literature
Stephen King,pet sematary,Horror Fiction Thriller Fantasy Fantasy Paranormal Fantasy Supernatural Suspense Adult Horror Zombies Mystery,Stephen King pet sematary Horror Fiction Thriller Fantasy Fantasy Paranormal Fantasy Supernatural Suspense Adult Horror Zombies Mystery
Susan Ee,angelfall,Fantasy Young Adult Paranormal Angels Fantasy Paranormal Science Fiction Dystopia,Susan Ee angelfall Fantasy Young Adult Paranormal Angels Fantasy Paranormal Science Fiction Dystopia
Deborah Harkness,a discovery of witches,Fantasy Fiction Fantasy Paranormal Romance Paranormal Vampires Paranormal Witches,Deborah Harkness a discovery of witches Fantasy Fiction Fantasy Paranormal Romance Paranormal Vampires Paranormal Witches
Thomas Hardy Rosemarie Morgan Shannon Russell,far from the madding crowd,Classics Fiction Romance Literature 19th Century,Thomas Hardy Rosemarie Morgan Shannon Russell far from the madding crowd Classics Fiction Romance Literature 19th Century
Melissa Marr,wicked lovely,Fantasy Young Adult Fantasy Paranormal Romance Fantasy Urban Fantasy,Melissa Marr wicked lovely Fantasy Young Adult Fantasy Paranormal Romance Fantasy Urban Fantasy
Barbara Kingsolver,the bean trees,Fiction Contemporary Novels,Barbara Kingsolver the bean trees Fiction Contemporary Novels
Kiera Cass,the elite,Young Adult Romance Science Fiction Dystopia Fantasy,Kiera Cass the elite Young Adult Romance Science Fiction Dystopia Fantasy
Jhumpa Lahiri,interpreter of maladies,Short Stories Fiction Cultural India,Jhumpa Lahiri interpreter of maladies Short Stories Fiction Cultural India
Laura Ingalls Wilder Garth Williams,little house on the prairie,Classics Childrens Fiction Young Adult Historical,Laura Ingalls Wilder Garth Williams little house on the prairie Classics Childrens Fiction Young Adult Historical
Colleen Hoover,slammed,Romance New Adult Young Adult Contemporary Romance Contemporary Romance,Colleen Hoover slammed Romance New Adult Young Adult Contemporary Romance Contemporary Romance
Anthony Doerr,all the light we cannot see,Historical Historical Fiction Fiction Historical War,Anthony Doerr all the light we cannot see Historical Historical Fiction Fiction Historical War
Cecelia Ahern,p.s. i love you,Romance Womens Fiction Chick Lit Fiction Contemporary Adult Romance Contemporary Romance Love Adult Fiction Drama Cultural Ireland,Cecelia Ahern p.s. i love you Romance Womens Fiction Chick Lit Fiction Contemporary Adult Romance Contemporary Romance Love Adult Fiction Drama Cultural Ireland
C.S. Lewis,the horse and his boy,Fantasy Classics Fiction Young Adult Childrens,C.S. Lewis the horse and his boy Fantasy Classics Fiction Young Adult Childrens
William Shakespeare Robert          Jackson Barbara A. Mowat Paul Werstine,the merchant of venice,Classics Plays Drama Fiction,William Shakespeare Robert          Jackson Barbara A. Mowat Paul Werstine the merchant of venice Classics Plays Drama Fiction
Rick Riordan,the red pyramid,Fantasy Young Adult Fantasy Mythology,Rick Riordan the red pyramid Fantasy Young Adult Fantasy Mythology
Edmond Rostand Eteel Lawson Lowell Bair,cyrano de bergerac,Classics Plays Fiction Drama Cultural France Romance,Edmond Rostand Eteel Lawson Lowell Bair cyrano de bergerac Classics Plays Fiction Drama Cultural France Romance
Arthur C. Clarke,2001: a space odyssey,Science Fiction Fiction Classics Science Fiction Fantasy Space Fantasy Novels Audiobook Literature Speculative Fiction,Arthur C. Clarke 2001: a space odyssey Science Fiction Fiction Classics Science Fiction Fantasy Space Fantasy Novels Audiobook Literature Speculative Fiction
John Steinbeck,the grapes of wrath,Classics Fiction Historical Historical Fiction Literature,John Steinbeck the grapes of wrath Classics Fiction Historical Historical Fiction Literature
Diana Gabaldon,drums of autumn,Historical Historical Fiction Romance Fantasy Fiction Science Fiction Time Travel Historical,Diana Gabaldon drums of autumn Historical Historical Fiction Romance Fantasy Fiction Science Fiction Time Travel Historical
Laura Ingalls Wilder Garth Williams,little house in the big woods,Classics Historical Historical Fiction Childrens Fiction Young Adult,Laura Ingalls Wilder Garth Williams little house in the big woods Classics Historical Historical Fiction Childrens Fiction Young Adult
Ken Follett,world without end,Historical Historical Fiction Fiction Historical,Ken Follett world without end Historical Historical Fiction Fiction Historical
Garth Nix,sabriel,Fantasy Young Adult Fiction Fantasy Magic,Garth Nix sabriel Fantasy Young Adult Fiction Fantasy Magic
Alexandra Bracken,the darkest minds,Young Adult Science Fiction Dystopia Fantasy Science Fiction,Alexandra Bracken the darkest minds Young Adult Science Fiction Dystopia Fantasy Science Fiction
Peter S. Beagle,the last unicorn,Fantasy Fiction Classics Young Adult Childrens,Peter S. Beagle the last unicorn Fantasy Fiction Classics Young Adult Childrens
Sarah J. Maas,a court of thorns and roses,Fantasy Young Adult Romance New Adult,Sarah J. Maas a court of thorns and roses Fantasy Young Adult Romance New Adult
Abraham Verghese,cutting for stone,Fiction Historical Historical Fiction Cultural Africa Book Club Eastern Africa Ethiopia Health Medicine,Abraham Verghese cutting for stone Fiction Historical Historical Fiction Cultural Africa Book Club Eastern Africa Ethiopia Health Medicine
Shannon Hale,the goose girl,Fantasy Young Adult Fantasy Fairy Tales Romance Fiction,Shannon Hale the goose girl Fantasy Young Adult Fantasy Fairy Tales Romance Fiction
Tahereh Mafi,ignite me,Science Fiction Dystopia Young Adult Romance Fantasy,Tahereh Mafi ignite me Science Fiction Dystopia Young Adult Romance Fantasy
Robert Penn Warren,all the king's men,Fiction Classics Historical Historical Fiction Politics Literature,Robert Penn Warren all the king's men Fiction Classics Historical Historical Fiction Politics Literature
William Shakespeare Roma Gill فرنگیس شادمان,julius caesar,Classics Plays Fiction Drama Academic School,William Shakespeare Roma Gill فرنگیس شادمان julius caesar Classics Plays Fiction Drama Academic School
Leif Enger,peace like a river,Fiction Historical Historical Fiction Book Club Adult Fiction,Leif Enger peace like a river Fiction Historical Historical Fiction Book Club Adult Fiction
Orson Scott Card John Bruce Harris,speaker for the dead,Science Fiction Fiction Space Space Opera,Orson Scott Card John Bruce Harris speaker for the dead Science Fiction Fiction Space Space Opera
Cassandra Clare,city of glass,Fantasy Young Adult Fantasy Paranormal Romance,Cassandra Clare city of glass Fantasy Young Adult Fantasy Paranormal Romance
Edith Hamilton Steele Savage,mythology: timeless tales of gods and heroes,Fantasy Mythology Classics Nonfiction History,Edith Hamilton Steele Savage mythology: timeless tales of gods and heroes Fantasy Mythology Classics Nonfiction History
J.R. Ward,lover eternal,Romance Fantasy Paranormal Paranormal Vampires Romance Paranormal Romance Fantasy,J.R. Ward lover eternal Romance Fantasy Paranormal Paranormal Vampires Romance Paranormal Romance Fantasy
Lauren Oliver,before i fall,Young Adult Contemporary Fiction Romance Fantasy,Lauren Oliver before i fall Young Adult Contemporary Fiction Romance Fantasy
Jasper Fforde,the eyre affair,Fantasy Fiction Mystery Humor Science Fiction,Jasper Fforde the eyre affair Fantasy Fiction Mystery Humor Science Fiction
Karen Marie Moning,shadowfever,Fantasy Urban Fantasy Fantasy Fantasy Paranormal Romance Romance Paranormal Romance Fairies Fae,Karen Marie Moning shadowfever Fantasy Urban Fantasy Fantasy Fantasy Paranormal Romance Romance Paranormal Romance Fairies Fae
Lionel Shriver,we need to talk about kevin,Fiction Contemporary Thriller,Lionel Shriver we need to talk about kevin Fiction Contemporary Thriller
W. Bruce Cameron,a dog's purpose,Fiction Animals Animals Dogs Contemporary,W. Bruce Cameron a dog's purpose Fiction Animals Animals Dogs Contemporary
L.M. Montgomery,anne of avonlea,Classics Fiction Young Adult Historical Historical Fiction Childrens,L.M. Montgomery anne of avonlea Classics Fiction Young Adult Historical Historical Fiction Childrens
Tim LaHaye Jerry B. Jenkins,left behind,Fiction Christian Christian Fiction Religion Fantasy,Tim LaHaye Jerry B. Jenkins left behind Fiction Christian Christian Fiction Religion Fantasy
Ellen Raskin,the westing game,Mystery Young Adult Fiction Childrens Childrens Middle Grade Classics,Ellen Raskin the westing game Mystery Young Adult Fiction Childrens Childrens Middle Grade Classics
Laura Hillenbrand,seabiscuit: an american legend,Nonfiction History Biography Sports and Games Sports Animals,Laura Hillenbrand seabiscuit: an american legend Nonfiction History Biography Sports and Games Sports Animals
Kim Edwards,the memory keeper's daughter,Fiction Contemporary Adult Fiction Adult,Kim Edwards the memory keeper's daughter Fiction Contemporary Adult Fiction Adult
Dan Simmons,hyperion,Science Fiction Fiction Fantasy,Dan Simmons hyperion Science Fiction Fiction Fantasy
Maria V. Snyder,poison study,Fantasy Young Adult Romance Fantasy Magic Fiction,Maria V. Snyder poison study Fantasy Young Adult Romance Fantasy Magic Fiction
Cormac McCarthy,no country for old men,Fiction Thriller Mystery Crime Westerns Mystery Literature,Cormac McCarthy no country for old men Fiction Thriller Mystery Crime Westerns Mystery Literature
Stephen King Peter Straub,the talisman,Horror Fantasy,Stephen King Peter Straub the talisman Horror Fantasy
Rhonda Byrne,the secret,Self Help Nonfiction Spirituality Psychology,Rhonda Byrne the secret Self Help Nonfiction Spirituality Psychology
Anne Rice,the queen of the damned,Horror Fantasy Paranormal Vampires Fiction Fantasy Paranormal,Anne Rice the queen of the damned Horror Fantasy Paranormal Vampires Fiction Fantasy Paranormal
Michael  Grant,gone,Young Adult Science Fiction Dystopia Science Fiction Fantasy Fiction Fantasy Paranormal Adventure Romance Fantasy Supernatural Young Adult Teen,Michael  Grant gone Young Adult Science Fiction Dystopia Science Fiction Fantasy Fiction Fantasy Paranormal Adventure Romance Fantasy Supernatural Young Adult Teen
Richard Matheson,i am legend and other stories,Horror Fiction Science Fiction Paranormal Vampires Fantasy Short Stories,Richard Matheson i am legend and other stories Horror Fiction Science Fiction Paranormal Vampires Fantasy Short Stories
C.S. Lewis Pauline Baynes,the silver chair,Fantasy Fiction Classics Young Adult Childrens,C.S. Lewis Pauline Baynes the silver chair Fantasy Fiction Classics Young Adult Childrens
A.S. Byatt,possession,Fiction Historical Historical Fiction Romance Classics Mystery,A.S. Byatt possession Fiction Historical Historical Fiction Romance Classics Mystery
Richard Wright,native son,Fiction Classics Cultural African American Historical Historical Fiction Literature,Richard Wright native son Fiction Classics Cultural African American Historical Historical Fiction Literature
Karen Marie Moning,darkfever,Fantasy Fantasy Urban Fantasy Fantasy Paranormal Romance Romance Paranormal Romance Fairies Fae,Karen Marie Moning darkfever Fantasy Fantasy Urban Fantasy Fantasy Paranormal Romance Romance Paranormal Romance Fairies Fae
Sun Tzu Thomas Cleary نادر سعیدی,the art of war,Nonfiction Classics Philosophy History War Politics Business War Military Fiction Cultural China Leadership,Sun Tzu Thomas Cleary نادر سعیدی the art of war Nonfiction Classics Philosophy History War Politics Business War Military Fiction Cultural China Leadership
Nicole Krauss,the history of love,Fiction Historical Historical Fiction Romance Novels,Nicole Krauss the history of love Fiction Historical Historical Fiction Romance Novels
Dan Brown,angels & demons,Fiction Mystery Thriller,Dan Brown angels & demons Fiction Mystery Thriller
Gayle Forman,where she went,Young Adult Romance Contemporary Fiction Realistic Fiction,Gayle Forman where she went Young Adult Romance Contemporary Fiction Realistic Fiction
Tom Stoppard Henry Popkin,rosencrantz and guildenstern are dead,Plays Drama Fiction Classics Plays Theatre Humor,Tom Stoppard Henry Popkin rosencrantz and guildenstern are dead Plays Drama Fiction Classics Plays Theatre Humor
Scott Westerfeld,pretties,Young Adult Science Fiction Dystopia Science Fiction,Scott Westerfeld pretties Young Adult Science Fiction Dystopia Science Fiction
David McCullough,john adams,History Biography Nonfiction North American Hi... American History Politics Presidents,David McCullough john adams History Biography Nonfiction North American Hi... American History Politics Presidents
Sophocles J.E. Thomas,oedipus rex,Classics Plays Drama Fiction Academic School,Sophocles J.E. Thomas oedipus rex Classics Plays Drama Fiction Academic School
Andre Dubus III,house of sand and fog,Fiction Contemporary Literary Fiction Adult Fiction Literature Novels Book Club Adult Drama Abandoned,Andre Dubus III house of sand and fog Fiction Contemporary Literary Fiction Adult Fiction Literature Novels Book Club Adult Drama Abandoned
Umberto Eco William Weaver,foucault's pendulum,Fiction Mystery Historical Historical Fiction Literature Classics,Umberto Eco William Weaver foucault's pendulum Fiction Mystery Historical Historical Fiction Literature Classics
Patrick Ness,the knife of never letting go,Young Adult Science Fiction Dystopia Science Fiction Fantasy,Patrick Ness the knife of never letting go Young Adult Science Fiction Dystopia Science Fiction Fantasy
Michael Shaara,the killer angels,Historical Historical Fiction Fiction Military History Civil War War Historical,Michael Shaara the killer angels Historical Historical Fiction Fiction Military History Civil War War Historical
Christopher Paolini,inheritance,Young Adult Fantasy Dragons Fiction,Christopher Paolini inheritance Young Adult Fantasy Dragons Fiction
P.C. Cast Kristin Cast,tempted,Paranormal Vampires Young Adult Fantasy Fantasy Paranormal,P.C. Cast Kristin Cast tempted Paranormal Vampires Young Adult Fantasy Fantasy Paranormal
Charlotte Perkins Gilman,the yellow wallpaper and other stories,Classics Short Stories Fiction Feminism Horror Literature,Charlotte Perkins Gilman the yellow wallpaper and other stories Classics Short Stories Fiction Feminism Horror Literature
Benjamin Alire Sáenz,aristotle and dante discover the secrets of the universe,Young Adult Lgbt Contemporary Romance,Benjamin Alire Sáenz aristotle and dante discover the secrets of the universe Young Adult Lgbt Contemporary Romance
Margaret Atwood,the blind assassin,Fiction Historical Historical Fiction Mystery Cultural Canada,Margaret Atwood the blind assassin Fiction Historical Historical Fiction Mystery Cultural Canada
C.S. Lewis,prince caspian,Fantasy Classics Fiction Young Adult Childrens,C.S. Lewis prince caspian Fantasy Classics Fiction Young Adult Childrens
Janet Evanovich,one for the money,Mystery Fiction Womens Fiction Chick Lit Humor Romance,Janet Evanovich one for the money Mystery Fiction Womens Fiction Chick Lit Humor Romance
Leigh Bardugo,six of crows,Fantasy Young Adult,Leigh Bardugo six of crows Fantasy Young Adult
Howard Zinn,a people's history of the united states,Nonfiction History North American Hi... American History Historical,Howard Zinn a people's history of the united states Nonfiction History North American Hi... American History Historical
J.R. Ward,lover unbound,Fantasy Paranormal Romance Paranormal Romance Paranormal Vampires Romance Fantasy,J.R. Ward lover unbound Fantasy Paranormal Romance Paranormal Romance Paranormal Vampires Romance Fantasy
Marie Lu,champion,Science Fiction Dystopia Young Adult Romance,Marie Lu champion Science Fiction Dystopia Young Adult Romance
Jane Austen James Kinsley Deidre Shauna Lynch,persuasion,Classics Fiction Romance,Jane Austen James Kinsley Deidre Shauna Lynch persuasion Classics Fiction Romance
James Dashner,the scorch trials,Young Adult Science Fiction Dystopia Science Fiction,James Dashner the scorch trials Young Adult Science Fiction Dystopia Science Fiction
Robert Ludlum,the bourne identity,Fiction Thriller Mystery Suspense Spy Thriller Espionage,Robert Ludlum the bourne identity Fiction Thriller Mystery Suspense Spy Thriller Espionage
Lemony Snicket Brett Helquist,the bad beginning,Fiction Young Adult Childrens Fantasy,Lemony Snicket Brett Helquist the bad beginning Fiction Young Adult Childrens Fantasy
Clement C. Moore Jan Brett,the night before christmas,Holiday Christmas Childrens Childrens Picture Books Classics Poetry Fiction Holiday Fantasy Kids Childrens Juvenile,Clement C. Moore Jan Brett the night before christmas Holiday Christmas Childrens Childrens Picture Books Classics Poetry Fiction Holiday Fantasy Kids Childrens Juvenile
Tamora Pierce,alanna: the first adventure,Fantasy Young Adult Fiction Fantasy Magic Adventure,Tamora Pierce alanna: the first adventure Fantasy Young Adult Fiction Fantasy Magic Adventure
Thomas Pynchon,gravity's rainbow,Fiction Classics Science Fiction Literature Historical Historical Fiction Novels,Thomas Pynchon gravity's rainbow Fiction Classics Science Fiction Literature Historical Historical Fiction Novels
Dave Eggers,a heartbreaking work of staggering genius,Fiction,Dave Eggers a heartbreaking work of staggering genius Fiction
Diana Gabaldon,a breath of snow and ashes,Historical Historical Fiction Romance Fiction Fantasy Science Fiction Time Travel Historical,Diana Gabaldon a breath of snow and ashes Historical Historical Fiction Romance Fiction Fantasy Science Fiction Time Travel Historical
Maggie Stiefvater,the raven boys,Fantasy Young Adult Fantasy Paranormal Romance,Maggie Stiefvater the raven boys Fantasy Young Adult Fantasy Paranormal Romance
